id,content,label
1055506617275273327,Something like this is hard to scale to other contests. What happens for ties in single token voting? We're currently leaning towards a tiebreaker round,
903725333595947059,"Was listening to the twitter spaces for 89 and had a thought. There was mention of this dynamic where the majority of auction bids occur right before noun o'clock. I have a feeling that this is a function of the fact that nouns uses a single price, public bid auction. There has been a lot of research into auctions that should produce superior results (defining superior as better price discovery). 

Has anyone thought about researching / potentially integrating a different auction method (ex: generalized second price auction,VCG auction, etc. ) ?",
1025108922849300561,Thanks Greta! Saw that. Are you part of the project?,
959483752042610698,what am i looking for? wher is the sign up?,
1001567958629363864,Can I get a Volunteer for todays judge? <@930985786449481858>?,
1009225955052626021,"If he is so busy, why is he trying to do a project for nouns? Super sus.",
1007875953491460168,<@930985786449481858> you got the main account right? 🫡,
1016952190054711326,follow-up nouns crusade went much better - eradicated catholicism and took over most of europe,
972164079961661471,I need Persian nounish carpet! Who is up to the challenge? https://www.youtube.com/watch?v=DFRbc8D225M,
989701955599347732,is this a good entry for the contest?,
971070411800465459,"I like having this as a policy —as long as it’s a member of the project, I think a sub/proxy is a great option to ensure representation even if the orig nouncilor is unavailable.  If it’s a 1 for 1 switch or temporary proxy, I don’t think we need a vote. BUT we may want some kind of “policy” about it that we do vote on maybe?",
999830435125272677,<@756585502391664822> so.... i am curious if you would like to throw me an image of what your soundboard would look like if it were not limited to the design of myinstants?,
1018310435352629258,you want me to start it up?,
1019412857798021150,(figma)?,
1004793262613201058,"I am going to visit Nouns Cafe on Monday, August 8th. Does anyone want to meet there? <@91732526493630464> <@681441467771650055> <@975677062604017725> <@891692277758558268>",
1025560930270068817,ha!  love it to see someone is also into SBT!!!   is there anyone implementing SBT yet — within Nouns or outside of Nouns?,
1059500032727990282,Hey <@501964507439038474> can I publish this on twitter? Did you got these?,
994238123305345024,can you share what you know/concerns?,
1047017382419382363,"Looking for some feedback on this DAO. 

Idea is a network state based on collecting/curation and scholarship around xcopy (I know, but hear me out) 

I can’t work about a better name than xcopyology, xcopystan, xcopy land or something like that

Xcopy has a tumblr archive dating back 12 years containing 1200 works or thereabouts. It’s a great resource that documents his development and process and obviously as a collector I look at it an go, well what if tumblr died, how can this be preserved? 

To build an on chain record of this work is the aim (and remembering xcopy work is cc0) 

So I have downloaded all the works chronologically. The files are webp but I have gifs and png files also. Most of the works are between 4 and 8 frames for the webp. 

Was thinking a daily auction of each work, which is original xcopy first brought onchain, and therefore valuable as a 1/1, then using the funds to buy onchain xcopy works and create an atlas/compendium and scholarly curation work on mirror. 

At the end of the auction period all the collected works would be donated to a museum that agrees to show the work in public 

Q: it will work better if the uploaded files are gif or webp. Any way to do that? 
Q: obvs the files are just one layer but I wonder about layering each frame of the 8 frames into groups for each work. Not sure I can do that 
Q: the files are a fraction under 600 pixels, so I have to resize all 1200 unless nouns.build can be tweaked to allow smaller file sizes? 

Thoughts?",
1080227238852710451,how can i help?,
1030126104163389591,<@410593947027505162> i want moving flame profile background wen talking..how?,
1035573247321853972,https://opensea.io/en-US/collection/nouns here?,
937811531268227072,did fomo mint this rock?,
1001620053734731776,taco bout it?,
1000160260700524649,do we have any extra guests / segments today?,
942201638171590706,"(is this helpful when I post these secondary sales? I personally love seein them, I welcome feedback though)",
955957801157529601,heard the compression is proprietary. is that correct?,
1067735809542860800,can we use this clip for proposal?,
933431697050042398,hell yeah! love that. just out of curiosity whats the rationale behind not promoting them?,
1092192006354255892,Do you think this is what inspired the poap verification game https://twitter.com/0xDesigner/status/1642554817590566915?t=3t0zKVtejX5Fd4GNIv9QvQ&s=19,
1047538076848758865,GM what happened to the nounsJP spaces?? wasnt it 10:30 est?,
1000570047128948757,for yesterdays live voting?,
857367854281130045,testing some new background colors in the main branch. what do you think?,
999874926368534578,Oh damn he’s retweeting <@910446457004359680> do you know him? He should totally be a guest,
